chinese,frequency,pinyin,posseg
觸石決木,3,chu4-shi2-jue2-mu4,n
處尊居顯,3,chu4-zun1-ju1-xian3,n
殘暴不仁,3,can2-bao4-bu4-ren2,i
常舉劍,2,chang2-ju3-jian4,nr
叢草坡,3,cong2-cao3-po1,nr
財稅局,3,cai2-shui4-ju2,nt
從青樓,2,cong2-qing1-lou2,nr
唱段,27,chang4-duan4,n
穿梭箱,3,chuan1-suo1-xiang1,n
村村落落,7,cun1-cun1-luo4-luo4,n
曾元裕,3,ceng2-yuan2-yu4,nr
沉灶產蛙,3,chen2-zao4-chan3-wa1,n
常綠闊,27,chang2-lv4-kuo4,nr
差數,44,cha4-shu4,n
出席觀看,3,chu1-xi2-guan1-kan4,l
慈寧慈,3,ci2-ning2-ci2,nr
操作步驟,2,cao1-zuo4-bu4-zhou4,l
春秋時代,3,chun1-qiu1-shi2-dai4,t
曾遠,4,ceng2-yuan3,d
茶道,153,cha2-dao4,n
醜星,2,chou3-xing1,n
彩棉,3,cai3-mian2,n
衝來衝去,3,chong1-lai2-chong1-qu4,i
曹植入,2,cao2-zhi2-ru4,nr
出神入定,3,chu1-shen2-ru4-ding4,l
床位費,3,chuang2-wei4-fei4,n
成為明膠,3,cheng2-wei4-ming2-jiao1,n
崔大俠,2,cui1-da4-xia2,nr
曾昭斌,2,ceng2-zhao1-bin1,nr
藏珍堂,3,cang2-zhen1-tang2,nr
傳爵襲紫,3,chuan2-jue2-xi2-zi3,nr
出料,4,chu1-liao4,v
查小欣,3,cha2-xiao3-xin1,nr
醜話,25,chou3-hua4,n
巢縣,16,chao2-xian4,ns
層內運移,3,ceng2-nei4-yun4-yi2,n
承包制,18,cheng2-bao1-zhi4,n
斥賣,3,chi4-mai4,v
成婚之日,3,cheng2-hun1-zhi1-ri4,i
倉儲業,3,cang1-chu3-ye4,n
常德路,3,chang2-de2-lu4,nr
從有到無,3,cong2-you3-dao4-wu2,l
朝正,3,chao2-zheng4,nz
椎膚剝髓,3,chui2-fu1-bo1-sui3,v
春閨,3,chun1-gui1,n
吃齋唸佛,3,chi1-zhai1-nian4-fu2,l
崔用裴,3,cui1-yong4-pei2,nr
測定限,3,ce4-ding4-xian4,n
朝陽產業,3,chao2-yang2-chan3-ye4,n
吹乾,4,chui1-qian2,v
層析儀,3,ceng2-xi1-yi2,n
誠實可欺,3,cheng2-shi2-ke3-qi1,i
車系,3,che1-xi4,n
操縱基因,3,cao1-zong4-ji1-yin1,n
春性,3,chun1-xing4,n
沉渣泛起,3,chen2-zha1-fan4-qi3,n
穿來,3,chuan1-lai2,v
參數檢驗,3,can1-shu4-jian3-yan4,n
陳尚智,2,chen2-shang4-zhi4,nr
詞,5735,ci2,n
雌獸,3,ci2-shou4,n
赤黴病,9,chi4-mei2-bing4,n
禪功,3,chan2-gong1,n
穿梭外交,3,chuan1-suo1-wai4-jiao1,n
篡權,61,cuan4-quan2,v
陳胖子,2,chen2-pang4-zi,nr
槌仁提義,3,chui2-ren2-ti2-yi4,i
船級社,17,chuan2-ji2-she4,n
菜子油,2,cai4-zi-you2,n
車府,2,che1-fu3,n
抽過,3,chou1-guo4,v
塵羹塗飯,3,chen2-geng1-tu2-fan4,i
棦,68,cheng1,zg
赤西仁,3,chi4-xi1-ren2,nr
從吾言,2,cong2-wu2-yan2,nr
湊攏,11,cou4-long3,v
潮漲潮,3,chao2-zhang3-chao2,n
持幣待購,3,chi2-bi4-dai4-gou4,n
曾憲梓,265,ceng2-xian4-zi3,nrfg
乘勢使氣,3,cheng2-shi4-shi3-qi4,i
測試運行,3,ce4-shi4-yun4-xing2,nz
蔡將軍,10,cai4-jiang1-jun1,nr
醜相,4,chou3-xiang1,n
摧心剖肝,3,cui1-xin1-pou1-gan1,n
查回來,3,cha2-hui2-lai2,nr
操素,2,cao1-su4,n
車飛黃,3,che1-fei1-huang2,nr
趁勢,129,chen4-shi4,d
搓到,3,cuo1-dao4,v
城市道路,100,cheng2-shi4-dao4-lu4,n
陳玉和,8,chen2-yu4-he2,nr
慈寧宮,222,ci2-ning2-gong1,nr
摧毀,940,cui1-hui3,v
產棉省,2,chan3-mian2-sheng3,n
創一流,3,chuang4-yi4-liu2,n
草莓,116,cao3-mei2,n
財務人員,3,cai2-wu4-ren2-yuan2,n
初出茅廬,49,chu1-chu1-mao2-lu2,i
參考圓,3,can1-kao3-yuan2,n
衝鋒舟,18,chong1-feng1-zhou1,i
衝擊鑽,2,chong1-ji1-zuan1,n
成渝,5,cheng2-yu2,nr
諂上欺下,3,chan3-shang4-qi1-xia4,i
創面,45,chuang4-mian4,n
赤心,27,chi4-xin1,n
楚長順,11,chu3-zhang3-shun4,nr
曹夢炎,2,cao2-meng4-yan2,nr
春秋衫,3,chun1-qiu1-shan1,nr
此公,22,ci3-gong1,r
常異交,2,chang2-yi4-jiao1,l
吃齋,43,chi1-zhai1,v
嗤,1226,chi1,zg
儲備,1263,chu3-bei4,vn
炒年糕,3,chao3-nian2-gao1,n
襯裡,33,chen4-li3,n
成天,295,cheng2-tian1,t
衝突點,5,chong1-tu1-dian3,n
察南,19,cha2-nan2,ns
昌邑市,3,chang1-yi4-shi4,ns
餐盤,8,can1-pan2,n
怱,7,cong1,zg
創痛,16,chuang4-tong4,n
楚留香,5,chu3-liu2-xiang1,nr
崔致遠,4,cui1-zhi4-yuan3,nr
村守,3,cun1-shou3,n
策馬揚鞭,3,ce4-ma3-yang2-bian1,n
船堅炮利,20,chuan2-jian1-pao4-li4,n
沉思默想,3,chen2-si1-mo4-xiang3,i
策應,182,ce4-ying1,n
寵辱,3,chong3-ru3,v
崔志圓,2,cui1-zhi4-yuan2,nr
蔡成勳,3,cai4-cheng2-xun1,nr
吹笛,3,chui1-di2,n
遲回觀望,3,chi2-hui2-guan1-wang4,i
泟,39,cheng1,zg
擦拳磨掌,3,ca1-quan2-mo2-zhang3,i
腸結核,14,chang2-jie2-he2,n
陳洪範,7,chen2-hong2-fan4,nr
存取,98,cun2-qu3,v
戳穿,36,chuo1-chuan1,v
閦,2,chu4,zg
陳求發,10,chen2-qiu2-fa1,nr
慈和,69,ci2-he2,nrt
純屬,824,chun2-shu3,n
場內,193,chang3-nei4,s
創產值,3,chuang4-chan3-zhi2,n
儲備糧庫,2,chu3-bei4-liang2-ku4,n
遲疑顧望,3,chi2-yi2-gu4-wang4,i
出境簽證,3,chu1-jing4-qian1-zheng4,n
產品名稱,3,chan3-pin3-ming2-cheng1,n
乘隙搗虛,3,cheng2-xi4-dao3-xu1,i
城廂區,3,cheng2-xiang1-qu1,ns
傳書,3,chuan2-shu1,n
曾尊固,12,ceng2-zun1-gu4,nr
吃飯錢,3,chi1-fan4-qian2,l
城郊,770,cheng2-jiao1,s
穿衣,166,chuan1-yi1,n
臭汗,3,chou4-han4,n
處級,95,chu4-ji2,v
陳曉旭,3,chen2-xiao3-xu4,nr
崔令欽,2,cui1-ling4-qin1,nr
馳名商標,3,chi2-ming2-shang1-biao1,l
茶鹼,15,cha2-jian3,n
藏毯,4,cang2-tan3,nz
草地郎,3,cao3-di4-lang2,n
曹雪芹,114,cao2-xue3-qin2,nr
測試軟件,2,ce4-shi4-ruan3-jian4,n
串鈴,9,chuan4-ling2,n
抽上來,3,chou1-shang4-lai2,l
叢長草,2,cong2-zhang3-cao3,nr
催款單,2,cui1-kuan3-dan1,n
赤口白舌,3,chi4-kou3-bai2-she2,i
絒,20,chou2,zg
柴立不阿,3,chai2-li4-bu4-e1,i
常小兵,4,chang2-xiao3-bing1,nr
慈禧嘆,2,ci2-xi3-tan4,nr
財務諮詢,3,cai2-wu4-zi1-xun2,nt
產業結構,3,chan3-ye4-jie2-gou4,n
床邊櫃,3,chuang2-bian1-gui4,n
承擔風險,3,cheng2-dan1-feng1-xian3,n
沉靜,325,chen2-jing4,a
產品描述,3,chan3-pin3-miao2-shu4,n
車輛保養,3,che1-liang4-bao3-yang3,n
惆悵,160,chou2-chang4,a
超臨界,11,chao1-lin2-jie4,nz
粗實,2,cu1-shi2,a
草衣木食,3,cao3-yi1-mu4-shi2,n
潮,1645,chao2,n
仇遇,3,chou2-yu4,n
潮汐發電,3,chao2-xi1-fa1-dian4,n
測隱,3,ce4-yin3,v
伺服系統,3,ci4-fu2-xi4-tong3,nz
啜菽飲水,3,chuo4-shu1-yin3-shui3,nr
查詢方法,3,cha2-xun2-fang1-fa3,nr
查案,15,cha2-an4,v
測試題,19,ce4-shi4-ti2,n
磁浮,36,ci2-fu2,v
廚師,209,chu2-shi1,n
蔡寶林,3,cai4-bao3-lin2,nr
常用命令,3,chang2-yong4-ming4-ling4,n
春生,87,chun1-sheng1,n
側耳,243,ce4-er3,n
成教院,3,cheng2-jiao4-yuan4,n
臭哄哄,3,chou4-hong3-hong3,z
春來早,3,chun1-lai2-zao3,l
觸發器,27,chu4-fa1-qi4,n
陳少霞,3,chen2-shao3-xia2,nr
雛型,17,chu2-xing2,n
鋹,5,chang3,zg
存乎一心,5,cun2-hu1-yi1-xin1,l
村黨委,3,cun1-dang3-wei3,n
成組傳送,3,cheng2-zu3-chuan2-song4,nr
椎度,3,chui2-du4,n
從先秦,2,cong2-xian1-qin2,nr
產生分歧,3,chan3-sheng1-fen1-qi2,n
程爺,2,cheng2-ye2,n
遄,46,chuan2,g
程序調試,2,cheng2-xu4-diao4-shi4,n
才勉力,2,cai2-mian3-li4,nr
草窩,33,cao3-wo1,n
場景,926,chang3-jing3,n
塵,989,chen2,n
差事,136,cha4-shi4,n
常結群,5,chang2-jie2-qun2,nr
稱之為,1685,cheng1-zhi1-wei4,v
車削,11,che1-xue1,v
操行,112,cao1-xing2,v
陳紹瑜,2,chen2-shao4-yu2,nr
創世紀,3,chuang4-shi4-ji4,nz
陳星唱,3,chen2-xing1-chang4,nr
誠非所料,3,cheng2-fei1-suo3-liao4,l
初中級,6,chu1-zhong1-ji2,b
撮科打閧,3,cuo1-ke1-da3-hong4,v
從嚴處理,3,cong2-yan2-chu4-li3,i
出好,3,chu1-hao3,v
成霸業,3,cheng2-ba4-ye4,n
承攬,45,cheng2-lan3,v
廚櫃,3,chu2-gui4,n
慈石召,9,ci2-shi2-zhao4,nr
穿巡,3,chuan1-xun2,v
超乎,130,chao1-hu1,v
成鍵,19,cheng2-jian4,n
持家基因,3,chi2-jia1-ji1-yin1,n
衝要,3,chong1-yao4,a
沖繩,167,chong1-sheng2,n
傳佈,102,chuan2-bu4,v
城市排水,3,cheng2-shi4-pai2-shui3,n
成根素,3,cheng2-gen1-su4,nr
抽走,3,chou1-zou3,v
採石廠,3,cai3-shi2-chang3,n
柴春霖,2,chai2-chun1-lin2,nr
車太鉉,3,che1-tai4-xuan4,nr
傳導性,14,chuan2-dao3-xing4,n
從不間斷,3,cong2-bu4-jian1-duan4,l
闖上來,3,chuang3-shang4-lai2,nrt
踩得,3,cai3-de2,v
產業鏈,256,chan3-ye4-lian4,n
常禮,5,chang2-li3,nr
此發彼應,3,ci3-fa1-bi3-ying1,i
沉悶悶,3,chen2-men4-men4,a
柴爛草,2,chai2-lan4-cao3,nr
查當鄉,3,cha2-dang1-xiang1,v
痴肥臃腫,3,chi1-fei2-yong1-zhong3,v
椎心飲泣,3,chui2-xin1-yin3-qi4,n
腸清茶,3,chang2-qing1-cha2,n
徹內徹外,3,che4-nei4-che4-wai4,i
撐腸拄腹,3,cheng1-chang2-zhu3-fu4,v
初速,145,chu1-su4,d
逞工衒巧,3,cheng3-gong1-xuan4-qiao3,v
採鐵,2,cai3-tie3,v
測度計,3,ce4-du4-ji4,nz
磁帶設備,3,ci2-dai4-she4-bei4,n
傳媒大學,3,chuan2-mei2-da4-xue2,n
超俗絕世,3,chao1-su2-jue2-shi4,i
側空翻,3,ce4-kong1-fan1,v
成蔭子,2,cheng2-yin1-zi,nr
昌言,4,chang1-yan2,nr
成氣侯,3,cheng2-qi4-hou2,nr
闖將,44,chuang3-jiang1,n
除外,640,chu2-wai4,c
船木,3,chuan2-mu4,n
擦乾淨,3,ca1-qian2-jing4,i
持槍者,2,chi2-qiang1-zhe3,n
詞模式,3,ci2-mo2-shi4,n
辭嚴意正,3,ci2-yan2-yi4-zheng4,i
坻,6,chi2,g
呈示部,3,cheng2-shi4-bu4,n
持有偏見,3,chi2-you3-pian1-jian4,i
蔡春豬,2,cai4-chun1-zhu1,nr
車中定,2,che1-zhong1-ding4,nr
出書,95,chu1-shu1,v
車城熱線,3,che1-cheng2-re4-xian4,n
脆化溫度,3,cui4-hua4-wen1-du4,n
層層落實,3,ceng2-ceng2-luo4-shi2,z
錯愛,24,cuo4-ai4,n
藏寶庫,3,cang2-bao3-ku4,nr
城府,96,cheng2-fu3,n
鑹,183,cuan1,zg
側廳,8,ce4-ting1,n
程英使,2,cheng2-ying1-shi3,nr
重重圍困,13,chong2-chong2-wei2-kun4,i
彩超,10,cai3-chao1,j
扯下來,3,che3-xia4-lai2,v
暢飲,76,chang4-yin3,v
赤縣,4,chi4-xian4,ns
彩色繽紛,3,cai3-se4-bin1-fen1,i
吃得下,22,chi1-de-xia4,l
處子,23,chu4-zi,n
斥候,11,chi4-hou4,v
吃大便,3,chi1-da4-bian4,l
菜單,169,cai4-dan1,n
錯愕,90,cuo4-e4,a
窗牖,13,chuang1-you3,n
充滿,4432,chong1-man3,a
承諾制,3,cheng2-nuo4-zhi4,nr
擦牆而過,3,ca1-qiang2-er2-guo4,l
曹代英,6,cao2-dai4-ying1,nr
程控電話,18,cheng2-kong4-dian4-hua4,n
初始值,6,chu1-shi3-zhi2,l
茶質,3,cha2-zhi4,n
懲一戒百,3,cheng2-yi1-jie4-bai3,i
陳子善,2,chen2-zi-shan4,nr
鴟張蟻聚,3,chi1-zhang1-yi3-ju4,n
測定法,3,ce4-ding4-fa3,n
初版本,2,chu1-ban3-ben3,n
淳于越,10,chun2-yu2-yue4,nr
磁化強度,3,ci2-hua4-qiang2-du4,n
財務預算,3,cai2-wu4-yu4-suan4,n
陳師道,11,chen2-shi1-dao4,nr
楚弓復得,3,chu3-gong1-fu4-de2,i
曾徵其,2,ceng2-zheng1-qi2,nr
擦布,3,ca1-bu4,v
超霸賽,3,chao1-ba4-sai4,nz
常見問題,3,chang2-jian4-wen4-ti2,l
陳去病,5,chen2-qu4-bing4,nr
車馬盈門,3,che1-ma3-ying2-men2,n
出言有章,3,chu1-yan2-you3-zhang1,i
廁坑,3,ce4-keng1,n
傳聞失實,3,chuan2-wen2-shi1-shi2,i
脣向錯位,3,chun2-xiang4-cuo4-wei4,n
穿破,3,chuan1-po4,v
陳寶光,4,chen2-bao3-guang1,nr
崔真實,3,cui1-zhen1-shi2,nr
出言吐詞,3,chu1-yan2-tu3-ci2,i
採取行動,3,cai3-qu3-xing2-dong4,n
池魚堂燕,3,chi2-yu2-tang2-yan4,nr
初夜權,6,chu1-ye4-quan2,l
草墩,4,cao3-dun1,n
次訪問,24,ci4-fang3-wen4,n
蟲蛀,3,chong2-zhu4,n
純益,3,chun2-yi4,n
產品包裝,2,chan3-pin3-bao1-zhuang1,n
痴狂,5,chi1-kuang2,a
朝內,44,chao2-nei4,nz
參橫鬥轉,3,can1-heng2-dou4-zhuan3,i
春耕,35,chun1-geng1,nr
吹氣如蘭,12,chui1-qi4-ru2-lan2,i
查繼佐,51,cha2-ji4-zuo3,nr
測程,6,ce4-cheng2,n
菜畦,15,cai4-qi2,n
抄下來,3,chao1-xia4-lai2,l
磁峰,3,ci2-feng1,n
懺悔錄,10,chan4-hui3-lu4,n
惻然,3,ce4-ran2,v
超鏈接,3,chao1-lian4-jie1,l
腠理,21,cou4-li3,n
蔡曉儀,3,cai4-xiao3-yi2,nr
傳下去,3,chuan2-xia4-qu4,v
傳播常量,3,chuan2-bo1-chang2-liang4,n
存照,4,cun2-zhao4,v
瓷胎,3,ci2-tai1,n
褚萬裡,3,chu3-wan4-li3,nr
赤貧,74,chi4-pin2,a
超聲波,160,chao1-sheng1-bo1,n
沉舟破釜,3,chen2-zhou1-po4-fu3,n
熶,584,cuan4,zg
車間成本,3,che1-jian1-cheng2-ben3,n
創造力,250,chuang4-zao4-li4,n
懲前毖後,36,cheng2-qian2-bi4-hou4,i
插敘,8,cha1-xu4,v
抽血,23,chou1-xue4,v
脣不離腮,3,chun2-bu4-li2-sai1,i
倉受納,2,cang1-shou4-na4,nr
沖洗器,3,chong1-xi3-qi4,n
餐具櫃,3,can1-ju4-gui4,n
插入物,3,cha1-ru4-wu4,n
參建,2,can1-jian4,v
成分表,4,cheng2-fen4-biao3,n
錯誤認識,3,cuo4-wu4-ren4-shi2,i
尺蠖蛾,3,chi3-huo4-e2,n
測試函數,3,ce4-shi4-han2-shu4,n
初等數學,28,chu1-deng3-shu4-xue2,l
纏結,5,chan2-jie2,v
陳敏章,5,chen2-min3-zhang1,nr
插入序列,3,cha1-ru4-xu4-lie4,l
柴科夫斯基,38,chai2-ke1-fu1-si1-ji1,nrt
成風之斫,3,cheng2-feng1-zhi1-zhuo2,nr
穿井,3,chuan1-jing3,n
茶袋,3,cha2-dai4,n
常恐秋,2,chang2-kong3-qiu1,nr
吃請,32,chi1-qing3,v
查覺,4,cha2-jue2,v
趁熱打鐵,45,chen4-re4-da3-tie3,i
差分器,3,cha4-fen1-qi4,l
乘勝前進,15,cheng2-sheng4-qian2-jin4,i
蒼生,101,cang1-sheng1,nr
顫動回聲,3,chan4-dong4-hui2-sheng1,n
徂,9,cu2,g
柴佩爾,2,chai2-pei4-er3,nr
嚐嚐,280,chang2-chang2,v
出口品,12,chu1-kou3-pin3,n
粗聲大氣,3,cu1-sheng1-da4-qi4,i
闖江湖,24,chuang3-jiang1-hu2,nrt
充氣式,5,chong1-qi4-shi4,n
踩光,3,cai3-guang1,v
產銷合一,3,chan3-xiao1-he2-yi1,n
腸液,21,chang2-ye4,n
存取方法,3,cun2-qu3-fang1-fa3,n
醋瓶,4,cu4-ping2,n
財務檢查,3,cai2-wu4-jian3-cha2,n
攙扶,321,chan1-fu2,v
吹法螺,3,chui1-fa3-luo2,n
刺鼠,3,ci4-shu3,n
成功實踐,3,cheng2-gong1-shi2-jian4,l
揣合逢迎,3,chuai3-he2-feng2-ying2,vn
池田勇人,3,chi2-tian2-yong3-ren2,nr
償命,84,chang2-ming4,v
粲,127,can4,a
腸梗阻,43,chang2-geng3-zu3,n
慈寧花園,3,ci2-ning2-hua1-yuan2,ns
插嘴,243,cha1-zui3,v
重印,56,chong2-yin4,n
成沙,3,cheng2-sha1,ns
傳染病,529,chuan2-ran3-bing4,n
柴把,3,chai2-ba3,n
痴婆,2,chi1-po2,n
